,jobId,Industry,Departments,workType
76,38378406,Information & Communication Technology,Other,Full Time
77,38380671,Information & Communication Technology,Developers/Programmers,Contract/Temp
78,38383430,Information & Communication Technology,Other,Full Time
79,38387405,Information & Communication Technology,Other,Full Time
80,38387560,Information & Communication Technology,Business/Systems Analysts,Full Time
81,38390470,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
82,38391902,Information & Communication Technology,Business/Systems Analysts,Full Time
83,38393969,Information & Communication Technology,Business/Systems Analysts,Full Time
84,38400083,Information & Communication Technology,Other,Contract/Temp
85,38400254,Information & Communication Technology,Developers/Programmers,Contract/Temp
86,38403750,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
87,38406493,Information & Communication Technology,Architects,Full Time
88,38408709,Information & Communication Technology,Other,Full Time
89,38413087,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
90,38414091,Information & Communication Technology,Developers/Programmers,Contract/Temp
91,38416895,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
92,38424264,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
93,38427134,Consulting & Strategy,Analysts,Full Time
94,38435919,Science & Technology,Materials Sciences,Full Time
95,38437124,Information & Communication Technology,Developers/Programmers,Full Time
96,38443865,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
97,38443866,Government & Defence,Government - State,Full Time
98,38447004,Information & Communication Technology,Database Development & Administration,Full Time
99,38448100,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
100,38448110,Information & Communication Technology,Database Development & Administration,Full Time
101,38451658,Information & Communication Technology,Management,Full Time
102,38452547,Information & Communication Technology,Consultants,Contract/Temp
103,38453505,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
104,38454683,Information & Communication Technology,Engineering - Software,Full Time
105,38455824,Banking & Financial Services,Funds Management,Full Time
106,38456114,Information & Communication Technology,Consultants,Full Time
107,38458030,Information & Communication Technology,Developers/Programmers,Full Time
108,38460327,Science & Technology,Biological & Biomedical Sciences,Full Time
109,38460336,Information & Communication Technology,Engineering - Software,Full Time
110,38461297,Information & Communication Technology,Developers/Programmers,Contract/Temp
111,38461362,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
112,38461920,Information & Communication Technology,Engineering - Software,Full Time
113,38463715,Information & Communication Technology,Developers/Programmers,Contract/Temp
114,38464880,Science & Technology,Materials Sciences,Full Time
115,38465272,Consulting & Strategy,Analysts,Full Time
116,38468314,Government & Defence,Government - Federal,Full Time
117,38470453,Science & Technology,"Environmental, Earth & Geosciences",Full Time
118,38470867,Science & Technology,"Environmental, Earth & Geosciences",Casual/Vacation
119,38472025,Information & Communication Technology,Other,Full Time
120,38477448,Information & Communication Technology,Database Development & Administration,Contract/Temp
121,38477464,Information & Communication Technology,Database Development & Administration,Contract/Temp
122,38477474,Information & Communication Technology,Database Development & Administration,Contract/Temp
123,38477547,Information & Communication Technology,Developers/Programmers,Contract/Temp
124,38483932,Consulting & Strategy,Strategy & Planning,Full Time
125,38484869,Information & Communication Technology,Other,Full Time
126,38487347,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
127,38487380,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
128,38487437,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
129,38487720,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
130,38488757,Marketing & Communications,Market Research & Analysis,Full Time
131,38490404,Information & Communication Technology,Database Development & Administration,Full Time
132,38490423,Information & Communication Technology,Engineering - Software,Full Time
133,38490810,Information & Communication Technology,Database Development & Administration,Contract/Temp
134,38492604,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
135,38494885,Consulting & Strategy,Analysts,Full Time
136,38495208,Marketing & Communications,Digital & Search Marketing,Full Time
137,38497216,Government & Defence,Government - State,Contract/Temp
138,38497540,Information & Communication Technology,Developers/Programmers,Full Time
139,38500467,Science & Technology,Biological & Biomedical Sciences,Full Time
140,38500468,Government & Defence,Government - Federal,Full Time
141,38502353,Information & Communication Technology,Consultants,Full Time
142,38502572,Information & Communication Technology,Other,Full Time
143,38503594,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
144,38503756,Information & Communication Technology,Database Development & Administration,Full Time
145,38507417,Information & Communication Technology,Consultants,Full Time
146,38508350,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
147,38508883,Information & Communication Technology,Other,Contract/Temp
148,38508909,Information & Communication Technology,Other,Contract/Temp
149,38509159,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
150,38510416,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
151,38512905,Information & Communication Technology,Database Development & Administration,Contract/Temp
152,38513017,Information & Communication Technology,Database Development & Administration,Contract/Temp
153,38513440,Information & Communication Technology,Consultants,Contract/Temp
154,38513493,Information & Communication Technology,Consultants,Contract/Temp
155,38513903,Information & Communication Technology,Database Development & Administration,Contract/Temp
156,38514125,Information & Communication Technology,Business/Systems Analysts,Full Time
157,38514541,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
158,38514752,Consulting & Strategy,Other,Full Time
159,38516648,Science & Technology,"Environmental, Earth & Geosciences",Full Time
160,38516649,Government & Defence,Government - Federal,Full Time
161,38516691,Government & Defence,Government - Federal,Full Time
162,38516905,Information & Communication Technology,Consultants,Contract/Temp
163,38516956,Human Resources & Recruitment,Remuneration & Benefits,Full Time
164,38517767,Healthcare & Medical,Pathology,Full Time
165,38517976,Healthcare & Medical,Pharmaceuticals & Medical Devices,Full Time
166,38518570,Information & Communication Technology,Other,Contract/Temp
167,38518667,Information & Communication Technology,Database Development & Administration,Contract/Temp
168,38519752,Information & Communication Technology,Other,Full Time
169,38520146,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
170,38520402,Information & Communication Technology,Web Development & Production,Full Time
171,38520425,Healthcare & Medical,Pathology,Full Time
172,38520862,Information & Communication Technology,Other,Contract/Temp
173,38520932,Information & Communication Technology,Other,Contract/Temp
174,38523222,Information & Communication Technology,Other,Contract/Temp
175,38523726,Information & Communication Technology,Other,Contract/Temp
176,38526989,Information & Communication Technology,Database Development & Administration,Full Time
177,38535222,Information & Communication Technology,Consultants,Contract/Temp
178,38535411,Information & Communication Technology,Engineering - Software,Full Time
179,38537973,Information & Communication Technology,Database Development & Administration,Contract/Temp
180,38537974,Government & Defence,Government - Federal,Contract/Temp
181,38540886,Science & Technology,Other,Contract/Temp
182,38540887,Government & Defence,Government - State,Contract/Temp
183,38542288,Information & Communication Technology,Developers/Programmers,Full Time
184,38542822,Information & Communication Technology,Business/Systems Analysts,Full Time
185,38544594,Information & Communication Technology,Developers/Programmers,Full Time
186,38544742,Banking & Financial Services,Analysis & Reporting,Full Time
187,38547260,Information & Communication Technology,Other,Full Time
188,38547389,Information & Communication Technology,Other,Full Time
189,38547503,Information & Communication Technology,Other,Full Time
190,38549522,Information & Communication Technology,Consultants,Full Time
191,38551256,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
192,38552087,Information & Communication Technology,Web Development & Production,Full Time
193,38555954,Information & Communication Technology,Other,Contract/Temp
194,38556033,Information & Communication Technology,Database Development & Administration,Contract/Temp
195,38556208,Information & Communication Technology,Other,Contract/Temp
196,38556593,Information & Communication Technology,Consultants,Contract/Temp
197,38556858,Information & Communication Technology,Other,Contract/Temp
198,38557632,Information & Communication Technology,Other,Contract/Temp
199,38557703,Information & Communication Technology,Other,Contract/Temp
200,38557768,Information & Communication Technology,Other,Contract/Temp
201,38560763,Consulting & Strategy,Analysts,Contract/Temp
202,38561225,Information & Communication Technology,Other,Contract/Temp
203,38563152,Information & Communication Technology,Database Development & Administration,Full Time
204,38564258,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
205,38564366,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
206,38565311,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
207,38565312,"Mining, Resources & Energy",Analysis & Reporting,Contract/Temp
208,38567310,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
209,38575855,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
210,38578631,Banking & Financial Services,Stockbroking & Trading,Full Time
211,38579276,Information & Communication Technology,Consultants,Full Time
212,38579658,Information & Communication Technology,Other,Contract/Temp
213,38580429,Information & Communication Technology,Consultants,Full Time
214,38584443,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
215,38585384,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
216,38587859,Banking & Financial Services,Stockbroking & Trading,Full Time
217,38587951,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
218,38590660,Information & Communication Technology,Other,Full Time
219,38593234,Information & Communication Technology,Developers/Programmers,Full Time
220,38594055,Banking & Financial Services,Stockbroking & Trading,Full Time
221,38595275,Information & Communication Technology,Consultants,Full Time
222,38604629,Information & Communication Technology,Engineering - Software,Full Time
223,38604706,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
224,38605485,Information & Communication Technology,Developers/Programmers,Full Time
225,38605486,Education & Training,Other,Full Time
226,38605978,Banking & Financial Services,Analysis & Reporting,Full Time
227,38611243,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
228,38611983,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
229,38614543,Information & Communication Technology,Business/Systems Analysts,Full Time
230,38614567,Information & Communication Technology,Business/Systems Analysts,Full Time
231,38616110,Information & Communication Technology,Programme & Project Management,Full Time
232,38618566,Insurance & Superannuation,Actuarial,Full Time
233,38619214,Information & Communication Technology,Developers/Programmers,Full Time
234,38623164,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
235,38623838,Information & Communication Technology,Other,Contract/Temp
236,38627600,Banking & Financial Services,Analysis & Reporting,Full Time
237,38631105,Information & Communication Technology,Database Development & Administration,Contract/Temp
238,38632917,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
239,38633126,Insurance & Superannuation,Actuarial,Full Time
240,38633230,Information & Communication Technology,Other,Full Time
241,38641856,Information & Communication Technology,Consultants,Full Time
242,38642611,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
243,38642612,Government & Defence,Government - State,Full Time
244,38644875,Information & Communication Technology,Database Development & Administration,Contract/Temp
245,38648773,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
246,38648941,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
247,38648949,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
248,38650280,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
249,38651049,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
250,38651082,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
251,38651083,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
252,38651167,Information & Communication Technology,Business/Systems Analysts,Full Time
253,38651355,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
254,38651465,Information & Communication Technology,Other,Contract/Temp
255,38651641,Information & Communication Technology,Other,Contract/Temp
256,38651832,Engineering,Water & Waste Engineering,Full Time
257,38651833,Government & Defence,Government - State,Full Time
258,38653064,Engineering,Water & Waste Engineering,Full Time
259,38653065,Government & Defence,Government - State,Full Time
260,38658689,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
261,38659209,Information & Communication Technology,Developers/Programmers,Full Time
262,38659675,Information & Communication Technology,Other,Contract/Temp
263,38664552,Information & Communication Technology,Business/Systems Analysts,Full Time
264,38664969,Information & Communication Technology,Other,Contract/Temp
265,38667725,Information & Communication Technology,Consultants,Contract/Temp
266,38675867,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
267,38676374,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
268,38680411,Information & Communication Technology,Developers/Programmers,Full Time
269,38683694,Banking & Financial Services,Stockbroking & Trading,Full Time
270,38686065,Science & Technology,"Mathematics, Statistics & Information Sciences",Part Time
271,38687490,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
272,38687491,"Mining, Resources & Energy",Analysis & Reporting,Contract/Temp
273,38688485,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
274,38689890,Information & Communication Technology,Other,Contract/Temp
275,38692371,Information & Communication Technology,Other,Full Time
276,38693720,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
277,38700507,Information & Communication Technology,Other,Contract/Temp
278,38702873,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
279,38702874,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
280,38704207,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
281,38706970,Information & Communication Technology,Developers/Programmers,Full Time
282,38707083,Information & Communication Technology,Developers/Programmers,Contract/Temp
283,38707473,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
284,38708722,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
285,38709784,Information & Communication Technology,Database Development & Administration,Contract/Temp
286,38710913,Government & Defence,Government - Federal,Full Time
287,38710980,Information & Communication Technology,Consultants,Full Time
288,38711931,Information & Communication Technology,Database Development & Administration,Contract/Temp
289,38715031,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
290,38715500,Information & Communication Technology,Other,Contract/Temp
291,38718897,Information & Communication Technology,Database Development & Administration,Contract/Temp
292,38719373,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
293,38719428,Information & Communication Technology,Other,Contract/Temp
294,38721871,Information & Communication Technology,Database Development & Administration,Full Time
295,38722126,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
296,38725000,Banking & Financial Services,Other,Full Time
297,38729084,Information & Communication Technology,Consultants,Full Time
298,38735235,Information & Communication Technology,Consultants,Contract/Temp
299,38736094,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
300,38736412,Accounting,Analysis & Reporting,Full Time
301,38736413,Science & Technology,Modelling & Simulation,Full Time
302,38736414,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
303,38736952,Information & Communication Technology,Consultants,Full Time
304,38739169,Information & Communication Technology,Engineering - Software,Full Time
305,38741831,Information & Communication Technology,Consultants,Full Time
306,38744632,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
307,38744785,Information & Communication Technology,Engineering - Software,Full Time
308,38746607,Information & Communication Technology,Database Development & Administration,Contract/Temp
309,38749804,Information & Communication Technology,Consultants,Full Time
310,38749967,Banking & Financial Services,Stockbroking & Trading,Full Time
311,38750108,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
312,38750307,Information & Communication Technology,Developers/Programmers,Full Time
313,38750624,Information & Communication Technology,Business/Systems Analysts,Full Time
314,38752630,Information & Communication Technology,Web Development & Production,Full Time
315,38752749,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
316,38756852,Information & Communication Technology,Other,Full Time
317,38758986,Information & Communication Technology,Consultants,Full Time
318,38760432,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
319,38762470,Engineering,Mechanical Engineering,Full Time
320,38764886,Marketing & Communications,Market Research & Analysis,Full Time
321,38766803,Information & Communication Technology,Other,Full Time
322,38767227,Information & Communication Technology,Other,Contract/Temp
323,38767887,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
324,38768173,Information & Communication Technology,Database Development & Administration,Full Time
325,38770092,Information & Communication Technology,Consultants,Full Time
326,38770787,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
327,38774798,Information & Communication Technology,Consultants,Full Time
328,38777022,Information & Communication Technology,Engineering - Software,Full Time
329,38789722,Science & Technology,Biological & Biomedical Sciences,Full Time
330,38795577,Information & Communication Technology,Business/Systems Analysts,Full Time
331,38796138,Banking & Financial Services,Compliance & Risk,Full Time
332,38796139,Banking & Financial Services,Compliance & Risk,Full Time
333,38796140,Banking & Financial Services,Compliance & Risk,Full Time
334,38796392,Insurance & Superannuation,Actuarial,Full Time
335,38798441,Banking & Financial Services,Stockbroking & Trading,Full Time
336,38798970,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
337,38799031,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
338,38803844,Marketing & Communications,Market Research & Analysis,Full Time
339,38804349,Information & Communication Technology,Database Development & Administration,Contract/Temp
340,38805430,Information & Communication Technology,Other,Full Time
341,38805721,Information & Communication Technology,Other,Full Time
342,38805741,Information & Communication Technology,Other,Full Time
343,38805840,Information & Communication Technology,Other,Full Time
344,38808767,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
345,38815307,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
346,38817802,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
347,38818174,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
348,38818195,Information & Communication Technology,Database Development & Administration,Contract/Temp
349,38818833,Information & Communication Technology,Engineering - Software,Full Time
350,38828933,Information & Communication Technology,Business/Systems Analysts,Full Time
351,38829396,Banking & Financial Services,Stockbroking & Trading,Full Time
352,38830644,Science & Technology,Modelling & Simulation,Full Time
353,38830645,Accounting,Analysis & Reporting,Full Time
354,38830649,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
355,38831823,Information & Communication Technology,Other,Contract/Temp
356,38835912,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
357,38838937,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
358,38839338,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
359,38839410,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
360,38839638,Information & Communication Technology,Consultants,Full Time
361,38847502,Information & Communication Technology,Other,Full Time
362,38848619,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
363,38849034,"Mining, Resources & Energy",Natural Resources & Water,Full Time
364,38849329,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
365,38851805,Information & Communication Technology,Other,Full Time
366,38852611,Banking & Financial Services,Analysis & Reporting,Full Time
367,38852613,Banking & Financial Services,Analysis & Reporting,Full Time
368,38853850,Information & Communication Technology,Business/Systems Analysts,Full Time
369,38855545,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
370,38855864,Information & Communication Technology,Consultants,Full Time
371,38857057,Information & Communication Technology,Database Development & Administration,Full Time
372,38861824,Consulting & Strategy,Analysts,Full Time
373,38866965,Marketing & Communications,Digital & Search Marketing,Full Time
374,38867666,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
375,38868348,Information & Communication Technology,Consultants,Full Time
376,38869070,Information & Communication Technology,Management,Full Time
377,38869528,Information & Communication Technology,Database Development & Administration,Full Time
378,38873206,Information & Communication Technology,Developers/Programmers,Full Time
379,38874128,Information & Communication Technology,Developers/Programmers,Full Time
380,38874136,Information & Communication Technology,Architects,Full Time
381,38875704,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
382,38876502,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
383,38879547,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
384,38882017,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
385,38883306,Information & Communication Technology,Other,Full Time
386,38885317,Information & Communication Technology,Database Development & Administration,Full Time
387,38885501,Information & Communication Technology,Other,Contract/Temp
388,38886857,Information & Communication Technology,Engineering - Network,Contract/Temp
389,38886867,Information & Communication Technology,Engineering - Network,Contract/Temp
390,38890886,Information & Communication Technology,Database Development & Administration,Full Time
391,38892320,Information & Communication Technology,Engineering - Software,Full Time
392,38893132,Consulting & Strategy,Corporate Development,Full Time
393,38893158,Banking & Financial Services,Stockbroking & Trading,Full Time
394,38894337,Information & Communication Technology,Developers/Programmers,Full Time
395,38897424,Information & Communication Technology,Developers/Programmers,Full Time
396,38897816,Information & Communication Technology,Developers/Programmers,Full Time
397,38899737,Information & Communication Technology,Database Development & Administration,Full Time
398,38899756,Information & Communication Technology,Product Management & Development,Full Time
399,38899771,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
400,38906778,Science & Technology,Modelling & Simulation,Full Time
401,38906779,Government & Defence,Government - State,Full Time
402,38908453,Banking & Financial Services,Stockbroking & Trading,Full Time
403,38909696,Information & Communication Technology,Consultants,Contract/Temp
404,38909870,Information & Communication Technology,Other,Contract/Temp
405,38911655,Information & Communication Technology,Consultants,Full Time
406,38915192,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp
407,38915484,Information & Communication Technology,Developers/Programmers,Full Time
408,38915564,Information & Communication Technology,Other,Contract/Temp
409,38916319,Information & Communication Technology,Engineering - Software,Full Time
410,38916532,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
411,38917657,Information & Communication Technology,Database Development & Administration,Full Time
412,38919426,Information & Communication Technology,Engineering - Software,Full Time
413,38919636,Information & Communication Technology,Engineering - Software,Full Time
414,38920351,Information & Communication Technology,Developers/Programmers,Contract/Temp
415,38921056,Information & Communication Technology,Other,Full Time
416,38921061,Information & Communication Technology,Other,Full Time
417,38921156,Information & Communication Technology,Other,Full Time
418,38921171,Information & Communication Technology,Other,Full Time
419,38922397,Information & Communication Technology,Other,Contract/Temp
420,38924510,Information & Communication Technology,Database Development & Administration,Contract/Temp
421,38924593,Information & Communication Technology,Database Development & Administration,Contract/Temp
422,38930195,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
423,38931338,Information & Communication Technology,Developers/Programmers,Full Time
424,38931350,Information & Communication Technology,Developers/Programmers,Full Time
425,38933178,Information & Communication Technology,Database Development & Administration,Contract/Temp
426,38933283,Science & Technology,Modelling & Simulation,Contract/Temp
427,38935316,Information & Communication Technology,Database Development & Administration,Contract/Temp
428,38938066,"Advertising, Arts & Media",Other,Full Time
429,38941227,Information & Communication Technology,Developers/Programmers,Full Time
430,38941355,Information & Communication Technology,Other,Full Time
431,38941420,Consulting & Strategy,Corporate Development,Full Time
432,38942546,Information & Communication Technology,Developers/Programmers,Full Time
433,38942590,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
434,38950066,Information & Communication Technology,Consultants,Full Time
435,38950559,Information & Communication Technology,Other,Full Time
436,38951001,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
437,38951002,Education & Training,Other,Full Time
438,38953775,Information & Communication Technology,Consultants,Contract/Temp
439,38953810,Information & Communication Technology,Developers/Programmers,Full Time
440,38961336,Engineering,Project Management,Full Time
441,38964236,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
442,38964237,Science & Technology,Modelling & Simulation,Full Time
443,38964238,Accounting,Analysis & Reporting,Full Time
444,38965296,Information & Communication Technology,Other,Contract/Temp
445,38965720,Information & Communication Technology,Other,Contract/Temp
446,38965945,Information & Communication Technology,Engineering - Software,Full Time
447,38966918,Information & Communication Technology,Consultants,Full Time
448,38971245,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
449,38979354,Consulting & Strategy,Analysts,Full Time
450,38985921,Information & Communication Technology,Database Development & Administration,Full Time
451,38986941,Marketing & Communications,Market Research & Analysis,Full Time
452,38989528,Information & Communication Technology,Developers/Programmers,Contract/Temp
453,38989654,Information & Communication Technology,Other,Full Time
454,38991456,Information & Communication Technology,Developers/Programmers,Full Time
455,38992181,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
